,Postcode,Borough,Neighbourhood,Latitude,Longitude
0,M3A,North York,Parkwoods,43.648690000000045,-79.38543999999996
1,M4A,North York,Victoria Village,43.648690000000045,-79.38543999999996
2,M5A,Downtown Toronto,Harbourfront,43.752440000000036,-79.32927072599995
3,M5A,Downtown Toronto,Regent Park,43.730420577000075,-79.31331999999998
4,M6A,North York,Lawrence Heights,43.65512000000007,-79.36263979699999
5,M6A,North York,Lawrence Manor,43.65512000000007,-79.36263979699999
6,M9A,Etobicoke,Islington Avenue,43.72312500000004,-79.45158914699994
7,M1B,Scarborough,Rouge,43.72312500000004,-79.45158914699994
8,M1B,Scarborough,Malvern,43.66110229800006,-79.39103499999999
9,M3B,North York,Don Mills North,43.648690000000045,-79.38543999999996
10,M4B,East York,Woodbine Gardens,43.662242201000026,-79.52837877199994
11,M4B,East York,Parkview Hill,43.811525000000074,-79.19551721399995
12,M5B,Downtown Toronto,Ryerson,43.811525000000074,-79.19551721399995
13,M5B,Downtown Toronto,Garden District,43.648690000000045,-79.38543999999996
14,M6B,North York,Glencairn,43.74919500000004,-79.36190541699995
15,M9B,Etobicoke,Cloverdale,43.707535000000064,-79.31177329699995
16,M9B,Etobicoke,Islington,43.707535000000064,-79.31177329699995
17,M9B,Etobicoke,Martin Grove,43.65736301100003,-79.37817999999999
18,M9B,Etobicoke,Princess Gardens,43.65736301100003,-79.37817999999999
19,M9B,Etobicoke,West Deane Park,43.70799000000005,-79.44836733199998
20,M1C,Scarborough,Highland Creek,43.648690000000045,-79.38543999999996
21,M1C,Scarborough,Rouge Hill,43.648690000000045,-79.38543999999996
22,M1C,Scarborough,Port Union,43.64969222700006,-79.55394499999994
23,M3C,North York,Flemingdon Park,43.64969222700006,-79.55394499999994
24,M3C,North York,Don Mills South,43.64969222700006,-79.55394499999994
25,M4C,East York,Woodbine Heights,43.64969222700006,-79.55394499999994
26,M5C,Downtown Toronto,St. James Town,43.64969222700006,-79.55394499999994
27,M6C,York,Humewood-Cedarvale,43.78573000000006,-79.15874999999994
28,M9C,Etobicoke,Bloordale Gardens,43.78573000000006,-79.15874999999994
29,M9C,Etobicoke,Eringate,43.78573000000006,-79.15874999999994
30,M9C,Etobicoke,Markland Wood,43.648690000000045,-79.38543999999996
31,M9C,Etobicoke,Old Burnhamthorpe,43.72142500000007,-79.34345278999996
32,M1E,Scarborough,Guildwood,43.72142500000007,-79.34345278999996
33,M1E,Scarborough,Morningside,43.68966500000005,-79.30716910999996
34,M1E,Scarborough,West Hill,43.65121000000005,-79.37548057699996
35,M4E,East Toronto,The Beaches,43.692105179000066,-79.43035499999996
36,M5E,Downtown Toronto,Berczy Park,43.648690000000045,-79.38543999999996
37,M6E,York,Caledonia-Fairbanks,43.648690000000045,-79.38543999999996
38,M1G,Scarborough,Woburn,43.648573449000025,-79.57824999999997
39,M4G,East York,Leaside,43.648573449000025,-79.57824999999997
